citys;hall;seats;show;perf;child_perf;adult_perf;audience;child_au;adult_au;c_capacity;a_capacity;c_oc_rate;a_oc_rate;pop;ap_rate;capacity;s_rate;year;y_perf;y_au;y_pop;y_ap_rate;t_show;age_group;type;total_show;or_trans;pct_ot;pct_ac
Ýstanbul;  253; 92 666; 4 545; 13 323; 4 319; 9 004;2 884 995; 904 925;1 980 070;400 224 454;834 364 664;0,23;0,24;15.701.602;18,37388949;1234589118;0,233680579;;;;;;;;;;;;
Ýzmir;  75; 29 825;  667; 2 224;  575; 1 649; 636 229; 120 317; 515 912;17 149 375;49 181 425;0,70;1,05;4.493.242;14,15968693;66330800;0,959175828;;;;;;;;;;;;
Kahramanmaraþ;  2;  822;  15;  37;  9;28; 16 026; 4 901; 11 125; 7 398; 23 016;66,25;48,34;1.134.105;1,413096671;30414;52,69283882;;;;;;;;;;;;
Karabük;  5; 1 771;  48;  97;  70;27; 29 089; 20 184; 8 905; 123 970; 47 817;16,28;18,62;250.478;11,61339519;171787;16,93317888;;;;;;;;;;;;
Karaman;  7; 1 663;  38;  63;  44;19; 11 005; 7 565; 3 440; 73 172; 31 597;10,34;10,89;262.791;4,187738545;104769;10,50406132;;;;;;;;;;;;
Kars;  5; 1 877;  25;  48;  32;16; 10 393; 4 843; 5 550; 60 064; 30 032;8,06;18,48;272.300;3,816746236;90096;11,53547327;;;;;;;;;;;;
Kastamonu;  7; 2 151;  36;  64;  30;34; 16 081; 6 878; 9 203; 64 530; 73 134;10,66;12,58;381.991;4,209785047;137664;11,68134007;;;;;;;;;;;;
Kayseri;  11; 6 316;  80;  306;  47;259; 142 037; 16 498; 125 539; 296 852;1 635 844;5,56;7,67;1.452.458;9,779077949;1932696;7,349164069;;;;;;;;;;;;
Kýrýkkale;  1;  342;  35;  55;  33;22; 10 689; 5 375; 5 314; 11 286; 7 524;47,63;70,63;283.053;3,776324575;18810;56,8261563;;;;;;;;;;;;
Kýrklareli;  6; 2 081;  65;  479;  9;470; 72 485; 3 085; 69 400; 18 729; 978 070;16,47;7,10;379.031;19,1237656;996799;7,271776958;;;;;;;;;;;;
Kýrþehir;  2;  924;  92;  92;  45;47; 10 272; 4 450; 5 822; 41 580; 43 428;10,70;13,41;244.546;4,200436728;85008;12,08356861;;;;;;;;;;;;
Kilis;  2;  907;  15;  53;  10;43; 11 404; 2 000; 9 404; 9 070; 39 001;22,05;24,11;156.739;7,275789689;48071;23,7232427;;;;;;;;;;;;
Kocaeli;  30; 11 971;  338; 1 107;  643;464; 270 843; 164 365; 106 478;7 697 353;5 554 544;2,14;1,92;2.130.006;12,71559798;13251897;2,043805502;;;;;;;;;;;;
Konya;  27; 12 591;  101;  551;  311;240; 167 411; 51 375; 116 036;3 915 801;3 021 840;1,31;3,84;2.330.024;7,184947451;6937641;2,413082487;;;;;;;;;;;;
Kütahya;  9; 6 404;  18;  39;  12;27; 16 930; 4 848; 12 082; 76 848; 172 908;6,31;6,99;571.078;2,964568763;249756;6,778615929;;;;;;;;;;;;
Malatya;  8; 3 326;  42;  80;  25;55; 26 837; 6 000; 20 837; 83 150; 182 930;7,22;11,39;750.491;3,575925627;266080;10,08606434;;;;;;;;;;;;
Manisa;  9; 3 584;  62;  126;  80;46; 34 131; 18 790; 15 341; 286 720; 164 864;6,55;9,31;1.475.353;2,313412451;451584;7,558062287;;;;;;;;;;;;
Mardin;  7; 4 000;  14;  22;  10;12; 6 340; 1 790; 4 550; 40 000; 48 000;4,48;9,48;895.911;0,707659578;88000;7,204545455;;;;;;;;;;;;
Mersin;  23; 9 842;  112;  186;  63;123; 58 277; 17 413; 40 864; 620 046;1 210 566;2,81;3,38;1.954.279;2,982020479;1830612;3,183470883;;;;;;;;;;;;
Muðla;  15; 9 096;  107;  176;  71;105; 51 283; 18 920; 32 363; 645 816; 955 080;2,93;3,39;1.081.867;4,74023147;1600896;3,2033936;;;;;;;;;;;;
Muþ;  9; 3 474;  30;  43;  24;19; 7 213; 3 053; 4 160; 83 376; 66 006;3,66;6,30;392.301;1,838639208;149382;4,828560335;;;;;;;;;;;;
Nevþehir;  3; 2 312;  25;  30;  10;20; 14 075; 1 820; 12 255; 23 120; 46 240;7,87;26,50;317.952;4,42676882;69360;20,29267589;;;;;;;;;;;;
Niðde;  2;  957;  25;  43;  24;19; 10 009; 5 090; 4 919; 22 968; 18 183;22,16;27,05;372.708;2,685480322;41151;24,3226167;;;;;;;;;;;;
Ordu;  10; 3 016;  98;  259;  78;181; 58 763; 13 161; 45 602; 235 248; 545 896;5,59;8,35;770.711;7,62451814;781144;7,522684678;;;;;;;;;;;;
Osmaniye;  3; 1 310;  19;  26;  11;  15; 6 021; 2 920; 3 101; 14 410; 19 650;20,26;15,78;561.061;1,073145344;34060;17,67762772;;;;;;;;;;;;
Rize;  7; 2 547;  29;  52;  4;48; 12 874;  800; 12 074; 10 188; 122 256;7,85;9,88;346.977;3,710332385;132444;9,720334632;;;;;;;;;;;;
Sakarya;  14; 3 899;  78;  127;  63;64; 28 334; 12 252; 16 082; 245 637; 249 536;4,99;6,44;1.110.735;2,550923488;495173;5,72204058;;;;;;;;;;;;
Samsun;  6; 2 598;  77;  172;  40;132; 58 654; 14 700; 43 954; 103 920; 342 936;14,15;12,82;1.382.376;4,242984543;446856;13,12592871;;;;;;;;;;;;
Siirt;  2; 1 060;  3;  4;  3;1; 1 006;  600;  406; 3 180; 1 060;18,87;38,30;336.453;0,299001644;4240;23,72641509;;;;;;;;;;;;
Sinop;  14; 3 830;  63;  120;  37;83; 26 451; 10 760; 15 691; 141 710; 317 890;7,59;4,94;226.957;11,65463061;459600;5,755221932;;;;;;;;;;;;
Sivas;  6; 3 267;  70;  297;  111;186; 73 129; 19 039; 54 090; 362 637; 607 662;5,25;8,90;637.007;11,48009363;970299;7,536748981;;;;;;;;;;;;
Þanlýurfa;  9; 5 818;  33;  113;  60;53; 40 444; 22 400; 18 044; 349 080; 308 354;6,42;5,85;2.237.745;1,807355172;657434;6,151796226;;;;;;;;;;;;
Þýrnak;  1;  809;  2;  3;  2;1; 1 430; 1 380;  50; 1 618;  809;85,29;6,18;570.826;0,250514167;2427;58,92047796;;;;;;;;;;;;
Tekirdað;  15; 5 789;  132;  394;  136;258; 107 669; 32 410; 75 259; 787 304;1 493 562;4,12;5,04;1.187.162;9,069444608;2280866;4,720531588;;;;;;;;;;;;
Tokat;  4; 2 120;  12;  17;0;17; 4 685;-; 4 685;  ; 36 040;0,00;13,00;612.674;0,764680727;36040;12,99944506;;;;;;;;;;;;
Trabzon;  16; 4 763;  185;  512;  162;350; 123 453; 45 393; 78 060; 771 606;1 667 050;5,88;4,68;822.270;15,01368164;2438656;5,062337615;;;;;;;;;;;;
Tunceli;  1;  275;  8;  12;  8;4; 2 221; 1 200; 1 021; 2 200; 1 100;54,55;92,82;86.612;2,564309795;3300;67,3030303;;;;;;;;;;;;
Uþak;  4; 1 770;  46;  78;  27;51; 24 060; 6 940; 17 120; 47 790; 90 270;14,52;18,97;375.310;6,410700488;138060;17,42720556;;;;;;;;;;;;
Van;  9; 1 668;  51;  911;  462;449; 103 195; 43 213; 59 982; 770 616; 748 932;5,61;8,01;1.118.087;9,229603779;1519548;6,791164215;;;;;;;;;;;;
Yalova;  2;  594;  15;  20;  4;16; 6 088;  880; 5 208; 2 376; 9 504;37,04;54,80;307.882;1,977380945;11880;51,24579125;;;;;;;;;;;;
Yozgat;  3; 1 250;  15;  35;  1;34; 10 493;  550; 9 943; 1 250; 42 500;44,00;23,40;413.161;2,539687918;43750;23,984;;;;;;;;;;;;
Zonguldak;  8; 2 154;  44;  51;  3;48; 10 976;  724; 10 252; 6 462; 103 392;11,20;9,92;586.802;1,870477606;109854;9,991443188;;;;;;;;;;;;
